TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
1.940000,1.473519,-0.964692,0.780581,0.380395,-0.501681,-0.617386,0.471647
1.950000,1.473137,-0.964183,0.780301,0.380523,-0.501715,-0.617402,0.471485
1.960000,1.472752,-0.963669,0.780018,0.380653,-0.501750,-0.617419,0.471321
1.970000,1.472363,-0.963150,0.779733,0.380784,-0.501785,-0.617436,0.471156
1.980000,1.471971,-0.962628,0.779445,0.380916,-0.501821,-0.617453,0.470989
1.990000,1.471575,-0.962100,0.779155,0.381050,-0.501857,-0.617470,0.470821
2.000000,1.471176,-0.961568,0.778863,0.381184,-0.501893,-0.617487,0.470650
2.010000,1.470774,-0.961032,0.778568,0.381320,-0.501929,-0.617504,0.470479
2.020000,1.470368,-0.960491,0.778270,0.381458,-0.501966,-0.617522,0.470305
2.030000,1.469959,-0.959946,0.777970,0.381596,-0.502003,-0.617540,0.470130
2.040000,1.469547,-0.959396,0.777668,0.381736,-0.502040,-0.617557,0.469954
